dataTypeName,fieldName,name
text,agency,Agency
text,agencyName,Agency Name
text,agencyPrefix,Agency Prefix
date,annualStartDate,Annual Start Date
text,candidateElectionYear,Candidate Election Year
text,candidateOfficeSought,Candidate Office Sought
text,categories,Categories
date,dateAssumedOffice,Date Assumed Office
date,dateLeftOffice,Date Left Office
text,departmentName,Department Name
text,descriptionCity,Description City
text,descriptionCounty,Description County
text,descriptionMultiCounty,Description Multi County
text,descriptionOther,Description Other
text,filerId,Filer
text,filerName,Filer Name
date,filingDate,Filing Date
text,filingId,Filing
text,firstName,First Name
text,lastName,Last Name
text,middleName,Middle Name
text,form,Form
text,id,Id
text,internalId,Internal
checkbox,isAnnual,Is Annual
checkbox,isAssuming,Is Assuming
checkbox,isCandidate,Is Candidate
number,commentCount, Comment Count
checkbox,isCity,Is City
checkbox,isCounty,Is County
checkbox,isJudgeOrCourt,Is Judge Or Court
checkbox,isLeaving,Is Leaving
checkbox,isMultiCounty,Is Multi County
checkbox,isOther,Is Other
checkbox,isState,Is State
date,leavingStatementStartDate,Leaving Statement Start Date
text,offices,Offices
date,periodEnd,Period End
date,periodStart,Period Start
text,positionName,Position Name
number,scheduleA1Count,Schedule A1 Count
number,scheduleA2Count,Schedule A2 Count
number,scheduleBCount,Schedule B Count
number,scheduleC1Count,Schedule C1 Count
number,scheduleC2Count,Schedule C2 Count
number,scheduleDCount,Schedule D Count
number,scheduleECount,Schedule E Count
text,transactionType,Transaction Type
text,year,Year
