dataTypeName,fieldName,name
text,filerName,Filer Name
text,departmentName,Department Name
text,positionName,Position Name
text,offices,Offices
date,periodEnd,Period End
date,periodStart,Period Start
date,filingDate,Filing Date
text,filerId,Filer
text,filingId,Filing
text,id,Id
text,incomeAddress,Income Address
text,incomeBusinessActivity,Income Business Activity
text,incomeBusinessPosition,Income Business Position
text,incomeCity,Income City
number,incomeGrossIncome,Income Gross Income
text,incomeGrossIncomeAsRange,Income Gross Income As Range
text,incomeSources,Income Sources
text,incomeState,Income State
text,incomeZip,Income Zip
text,loanAddress,Loan Address
text,loanBusinessActivity,Loan Business Activity
text,loanCity,Loan City
number,loanHighestBalance,Loan Highest Balance
text,loanHighestBalanceAsRange,Loan Highest Balance As Range
number,loanInterestRate,Loan Interest Rate
text,loanNameOfLender,Loan Name Of Lender
text,loanSecurity,Loan Security
text,loanState,Loan State
text,loanTerm,Loan Term
text,loanZip,Loan Zipcode
text,nameOfIncomeSource,Name Of Income Source
text,reasonForIncome,Reason For Income
text,reasonForIncomeOther,Reason For Income Other
text,reasonForIncomeSale,Reason For Income Sale
text,transactionType,Transaction Type
