dataTypeName,fieldName,name
text,filerName,Filer Name
text,departmentName,Department Name
text,positionName,Position Name
text,offices,Offices
date,periodEnd,Period End
date,periodStart,Period Start
date,filingDate,Filing Date
text,address,Address
number,amount,Amount
text,businessActivity,Business Activity
text,city,City
date,endDate,End Date
text,filerId,Filer
text,filingId,Filing
text,id,Id
checkbox,isNonprofit,Is Nonprofit
checkbox,isOther,Is Other
checkbox,madeSpeech,Made Speech
text,nameOfSource,Name Of Source
text,otherDescription,Other Description
date,startDate,Start Date
text,state,State
text,transactionType,Transaction Type
text,travelDescription,Travel Description
text,typeOfPayment,Type Of Payment
text,zip,Zipcode
